Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
10/18/2022,07:30 (ET),PHI@BOS,Boston Celtics,"Gallinari, Danilo",Out,Injury/Illness - Left Knee; ACL Repair
"",,,"Williams III, Robert",Out,Injury/Illness - Left Knee; Surgery,
"",10:00 (ET),LAL@GSW,Golden State Warriors,"Baldwin Jr., Patrick",Available,Injury/Illness - Right Thumb; Sprain
"",,,,"Iguodala, Andre",Out,Injury/Illness - Left Hip; Injury Management
"",,,Los Angeles Lakers,"Brown Jr., Troy",Out,Injury/Illness - Low Back; Soreness
"",,,,"Bryant, Thomas",Out,Injury/Illness - Left UCL; Repair
"",,,,"Davis, Anthony",Available,Injury/Illness - Low Back; Soreness
"",,,,"James, LeBron",Available,Injury/Illness - Left Foot; Soreness
"",,,,"Schroder, Dennis",Out,Injury/Illness - Right UCL; Repair
"",,,,"Westbrook, Russell",Available,Injury/Illness - Left Hamstring; Soreness
10/19/2022,07:00 (ET),ORL@DET,Detroit Pistons,"Bagley III, Marvin",Out,Injury/Illness - Right Knee; Sprain
"",,,"Burks, Alec",Out,Injury/Illness - Left Navicular; Fracture,
"",,,"Livers, Isaiah",Out,Injury/Illness - Right Hip; Soreness,
"",,Orlando Magic,"Fultz, Markelle",Out,Injury/Illness - Left Big toe; Fracture,
"",,,"Harris, Gary",Out,Injury/Illness - Left Knee; Injury recovery,
"",,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Injury recovery,
"",,,"Wagner, Moritz",Out,Injury/Illness - Right Midfoot; Sprain,
"",WAS@IND,Indiana Pacers,"Nesmith, Aaron",Questionable,Injury/Illness - Left Foot; Soreness,
"",,,"Smith, Jalen",Questionable,Injury/Illness - Right Knee; Soreness,
"",,,"Theis, Daniel",Out,Injury/Illness - Right Knee; Soreness,
"",,Washington Wizards,"Carey Jr., Vernon",Questionable,Injury/Illness - Head; Concussion Protocol,
"",,,"Kispert, Corey",Out,Injury/Illness - Left Ankle; Left ankle sprain,
07:30 (ET),CHI@MIA,Chicago Bulls,"Antetokounmpo, Kostas",Out,G League - Two-Way,
"","Ball, Lonzo",Out,Injury/Illness - Left Knee; Surgery,,,
"","Caruso, Alex",Probable,Injury/Illness - Left Calf; Contusion,,,
"","LaVine, Zach",Questionable,Injury/Illness - Left Knee; Injury Management,,,
Miami Heat,"Oladipo, Victor",Out,Injury/Illness - Left Knee; Tendinosis,,,
Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
"",,,,"Yurtseven, Omer",Out,Injury/Illness - Left Ankle; Impingement
"",CLE@TOR,Cleveland Cavaliers,"Diakite, Mamadi",Out,Not With Team,
"",,,"Rubio, Ricky",Out,Injury/Illness - Left Knee; ACL Surgery,
"",,,"Windler, Dylan",Out,Injury/Illness - Right Ankle; Sprain,
"",,Toronto Raptors,"Birch, Khem",Doubtful,Injury/Illness - Left Knee; Swelling,
"",,,"Boucher, Chris",Doubtful,Injury/Illness - Left Hamstring; Strain,
"",,,"Porter Jr., Otto",Out,Injury/Illness - Left Hamstring; Strain,
"",HOU@ATL,Atlanta Hawks,"Bogdanovic, Bogdan",Out,Injury/Illness - Right Knee; Injury Recovery,
"",,Houston Rockets,"Nix, Daishen",Probable,Injury/Illness - Back; Soreness,
"",,,"Tate, Jae'Sean",Out,Injury/Illness - Left Ankle; Soreness,
"",,,"Washington Jr., TyTy",Out,Injury/Illness - Left Knee; Sprain,
"",NOP@BKN,Brooklyn Nets,"Curry, Seth",Out,Injury/Illness - Left Ankle; Injury Recovery,
"",,,"Harris, Joe",Out,Injury/Illness - Left Foot; Soreness,
"",,,"Warren, T.J.",Out,Injury/Illness - Left Foot; Injury Recovery,
"",,New Orleans Pelicans,"Hayes, Jaxson",Questionable,Injury/Illness - Left Elbow; UCL Tear,
"",,,"Lewis Jr., Kira",Out,Injury/Illness - Right Knee; ACL Injury Recovery,
"",,,"Liddell, E.J.",Out,Injury/Illness - Right Knee; ACL Injury Recovery,
"",NYK@MEM,Memphis Grizzlies,"Brooks, Dillon",Doubtful,Injury/Illness - Left Thigh; Soreness,
"",,,"Green, Danny",Out,Injury/Illness - Left Knee; Surgery Recovery,
"",,,"Jackson Jr., Jaren",Out,Injury/Illness - Right Foot; Surgery Recovery,
"",,,"Williams, Ziaire",Out,Injury/Illness - Right Knee; Soreness,
"",,New York Knicks,"Grimes, Quentin",Out,Injury/Illness - Left Foot; Sore,
08:00 (ET),CHA@SAS,Charlotte Hornets,"Ball, LaMelo",Out,Injury/Illness - Left Ankle; Sprain,
"",OKC@MIN,Minnesota Timberwolves,"Paschall, Eric",Out,Injury/Illness - Left Ankle/Achilles; Tendinosis,
"",,Oklahoma City Thunder,"Holmgren, Chet",Out,Injury/Illness - Right Foot; Surgery,
09:00 (ET),DEN@UTA,Denver Nuggets,"Gillespie, Collin",Out,Injury/Illness - Right Lower Leg; Fracture,
Utah Jazz,"Azubuike, Udoka",Out,Injury/Illness - Right Ankle; Surgery,,,
Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
"",10:00 (ET),DAL@PHX,Dallas Mavericks,"Bertans, Davis",Out,Injury/Illness - Right Knee; Effusion
"","Dorsey, Tyler",Out,G League - Two-Way,,,
"","Kleber, Maxi",Questionable,Injury/Illness - Illness; Non-COVID,,,
"",,"Ntilikina, Frank",Out,Injury/Illness - Right Ankle; Effusion,,
"",Phoenix Suns,"Crowder, Jae",Out,Not With Team,,
"",,"Shamet, Landry",Out,Injury/Illness - Left Hip; Strain,,
POR@SAC,Portland Trail Blazers,"Payton II, Gary",Out,Return to Competition Reconditioning,,
"","Sarr, Olivier",Out,Injury/Illness - Right Wrist; Sprain,,,
"","Watford, Trendon",Out,Injury/Illness - Right Hip; Flexor Strain,,,
Sacramento Kings,"Huerter, Kevin",Questionable,Injury/Illness - Left Ankle; Soreness,,,
"Murray, Keegan",Out,Health and Safety Protocols,,,,
